latitude,longitude,timezone,timezone_offset,city,current_time,sunrise,sunset,temp_F,feels_like_F,humidity,dew_point,uvi,clouds,visibility,wind_speed_mph,wind_deg,wind_gust_mph,weather_id,weather_main,weather_description,alerts
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-03-02 01:49:00,2025-03-02 06:31:19,2025-03-02 17:53:02,40.93,40.93,37,18.39,0.0,57,10000,2.82,215,2.71,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-03-02 02:49:00,2025-03-02 06:55:51,2025-03-02 18:30:35,62.65,61.95,71,53.13,0.0,0,10000,4.61,160,0.0,800,Clear,clear sky,
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-03-02 09:49:01,2025-03-02 07:03:23,2025-03-02 18:07:49,37.99,33.55,78,31.78,1.56,0,10000,5.75,50,0.0,800,Clear,clear sky,
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-03-02 01:49:00,2025-03-02 06:31:19,2025-03-02 17:53:02,40.93,40.93,37,18.39,0.0,57,10000,2.82,215,2.71,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-03-02 02:49:00,2025-03-02 06:55:51,2025-03-02 18:30:35,62.65,61.95,71,53.13,0.0,0,10000,4.61,160,0.0,800,Clear,clear sky,
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-03-02 09:49:01,2025-03-02 07:03:23,2025-03-02 18:07:49,37.99,33.55,78,31.78,1.56,0,10000,5.75,50,0.0,800,Clear,clear sky,
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-03-02 01:49:00,2025-03-02 06:31:19,2025-03-02 17:53:02,40.93,40.93,37,18.39,0.0,57,10000,2.82,215,2.71,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-03-02 02:49:00,2025-03-02 06:55:51,2025-03-02 18:30:35,62.65,61.95,71,53.13,0.0,0,10000,4.61,160,0.0,800,Clear,clear sky,
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-03-02 09:49:01,2025-03-02 07:03:23,2025-03-02 18:07:49,37.99,33.55,78,31.78,1.56,0,10000,5.75,50,0.0,800,Clear,clear sky,
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-03-02 01:49:00,2025-03-02 06:31:19,2025-03-02 17:53:02,40.93,40.93,37,18.39,0.0,57,10000,2.82,215,2.71,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-03-02 02:49:00,2025-03-02 06:55:51,2025-03-02 18:30:35,62.65,61.95,71,53.13,0.0,0,10000,4.61,160,0.0,800,Clear,clear sky,
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-03-02 09:49:01,2025-03-02 07:03:23,2025-03-02 18:07:49,37.99,33.55,78,31.78,1.56,0,10000,5.75,50,0.0,800,Clear,clear sky,
39.7392,-104.9847,America/Denver,-25200,"Denver,CO,USA",2025-03-05 08:03:42,2025-03-05 06:26:46,2025-03-05 17:56:15,30.6,30.6,70,22.96,0.74,71,10000,1.99,225,7.0,803,Clouds,broken clouds,
30.2711,-97.7437,America/Chicago,-21600,"Austin,TX,USA",2025-03-05 09:03:42,2025-03-05 06:52:27,2025-03-05 18:32:38,53.94,51.1,44,32.56,1.9,0,10000,13.0,320,13.0,800,Clear,clear sky,
48.7823,9.177,Europe/Berlin,3600,"Stuttgart,DE",2025-03-05 16:03:42,2025-03-05 06:57:22,2025-03-05 18:12:30,61.63,59.14,35,33.75,0.71,0,10000,3.44,40,0.0,800,Clear,clear sky,"frost: There is a risk of frost (level 1 of 2).
Minimum temperature: 0 - -3 °C; local minimum: in valleys and dips > -6 °C"
